"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K02304"	486.030230880231	117.34696969697	517.684595959596	216.399025974026	379.209523809524	315.325396825397	354.854196729197	54.1696248196248	216.77196969697	264.750901875902	519.460353535354	472.186111111111	322.668831168831	83.4845238095238
"K02305"	794.398015873016	178.810714285714	622.500793650794	583.138095238095	1012.28452380952	738.099206349206	398.74246031746	126.469047619048	266.399206349206	283.299603174603	1024.60555555556	1132.41944444444	444.133333333333	378.129365079365
"K02313"	1950.61403318903	2426.77074314574	1480.96783910534	2015.95934343434	1939.74776334776	2045.30391414141	1485.58482443482	2498.68176406926	2202.46394300144	3001.36756854257	2573.47323232323	2373.84065656566	1099.97115800866	1182.8167027417
"K02314"	2172.89743867244	2891.56816378066	1554.91405122655	2080.56628787879	1965.84274891775	2094.68937590188	1648.60865199615	3687.01960678211	2934.91563852814	3509.888997114	2796.25138888889	2422.18766233766	1158.86495310245	1403.22784992785
"K02315"	851.025396825397	117.609523809524	611.152777777778	513.736111111111	957.625	673.011904761905	545.270634920635	82.9349206349206	254.385353535354	241.355952380952	1033.85303030303	1046.65277777778	525.10119047619	111.634523809524
"K02316"	1828.60847763348	2319.5262987013	1392.01783910534	1834.80505050505	1884.14617604618	1991.85748556999	1352.21184463684	2440.18252164502	2152.57151875902	2747.23423520924	2339.42474747475	2268.36843434343	1036.64615800866	1132.47622655123
"K02317"	0	5.09523809523809	0	0	1.75	2.39285714285714	0	2.41666666666667	1.3452380952381	3.20238095238095	0	0.5	0	0.642857142857143
"K02319"	512	25	607.5	28	377.5	66	71	0	133	142	438	545	153	25
"K02322"	258.5	13.5	310.5	16.5	191	33	51.5	0	66.5	71	219	278.5	77.5	12.5
"K02323"	258.5	13.5	310.5	16.5	191	33	51.5	0	66.5	71	219	278.5	77.5	12.5
"K02334"	2440.30158730159	2915.69213564214	2036.08441558442	2266.75901875902	2309.19473304473	2419.50901875902	1584.60357142857	2710.07628066378	2559.96338383838	3110.93502886003	3171.81919191919	2983.09044011544	1470.74255050505	1307.26475468975
"K02335"	2318.43401875902	3337.42463924964	1696.29868326118	2261.20299422799	1984.90043290043	2165.93991702742	1730.24066859067	4372.65762987013	3426.57804834055	4015.88383838384	2932.76565656566	2474.44696969697	1183.61628787879	1633.05804473304
"K02336"	322.728571428571	998.809126984127	78.4313492063492	113.538095238095	115.207142857143	115.060714285714	101.148015873016	2001.78412698413	1202.33373015873	1002.55634920635	201.363888888889	109.610317460317	49.7	522.604761904762
"K02337"	1947.70847763348	2489.55331890332	1475.31783910534	2117.90934343434	1928.30371572872	2045.71700937951	1544.50982443482	2553.50449134199	2261.24727633478	3088.27312409812	2551.22323232323	2358.81843434343	1077.15568181818	1211.34289321789
"K02338"	1929.56958874459	2373.2512987013	1476.04965728716	1955.60378787879	1928.94855699856	2055.29915223665	1516.32418229918	2452.76231962482	2181.42981601732	2893.83423520923	2542.18434343434	2360.35176767677	1091.54615800866	1161.30122655123
"K02339"	725.999206349206	1719.3869047619	493.445238095238	756.810317460317	706.525396825397	961.84126984127	432.873015873016	2189.45317460317	1561.44761904762	1757.45	943.802777777778	919.027777777778	391.245833333333	824.538888888889
